Region,year,school_fragility_score,school_count,schools_per_1000_children,school_age_pop
Bale,2015,0.5650418523999827,39.0,10.791740168102105,3613.875
Banwa,2015,1.0,0.0,0.0,4330.725
Mouhoun,2015,0.0,127.0,26.093701042207076,4867.075
Bougouriba,2015,0.6872647892652484,16.0,7.759268688926068,2062.05
Ioba,2015,0.609656319852206,28.0,9.684811275887414,2891.125
Noumbiel,2015,0.5660158543811371,14.0,10.76757421935087,1300.2
Poni,2015,0.7588883182028043,29.0,5.982218371598903,4847.7
Gourma,2015,0.7187061004003164,42.0,6.979178783296499,6017.9
Kompienga,2015,0.8969034743095312,6.0,2.5579263743525247,2345.65
Houet,2015,0.42640928793170585,273.0,14.231350675076891,19183.0
Kenedougou,2015,0.5008615406453342,71.0,12.384116933971727,5733.15
Tuy,2015,0.9193183796109249,9.0,2.0017904903830646,4495.975
Kadiogo,2015,0.0,1267.0,25.411520725080738,49859.275
Bam,2015,0.27117000257781587,85.0,18.08299028837051,4700.55
Namentenga,2015,0.3260375586019637,95.0,16.72167216721672,5681.25
Sandbondtenga,2015,0.22435905113530663,200.0,19.244416112387388,10392.625
Oudalan,2015,0.39696225590708034,56.0,14.961960551187941,3742.825
Seno,2015,0.9124533481450656,10.0,2.1721186845649245,4603.8
Yagha,2015,0.9298889704090061,5.0,1.7395237184059007,2874.35
Boulgou,2015,0.45128712196345777,132.0,13.6141071027994,9695.825
Koulpelogo,2015,0.8407068599013986,19.0,3.952219743417734,4807.425
Kourittenga,2015,0.3109172651101376,99.0,17.09682154544905,5790.55
Boulkiemde,2015,0.0,534.0,67.72867941758409,7884.4
Sanguie,2015,0.07354246537263365,109.0,22.986324191524584,4741.95
Sissili,2015,0.5483172733190569,44.0,11.206693452362002,3926.225
Ziro,2015,0.1398713148708829,81.0,21.340640087470277,3795.575
Bazega,2015,0.0,356.0,107.46115475462786,3312.825
Nahouri,2015,0.32573685903753324,52.0,16.729132819663167,3108.35
Zoundweogo,2015,0.7971195994162226,22.0,5.033662618762977,4370.575
Bassitenga,2015,0.2770863379838948,71.0,17.93620017809889,3958.475
Ganzourgou,2015,0.24388045828838645,101.0,18.76007076818775,5383.775
Kourweogo,2015,0.0,160.0,75.38813108111292,2122.35
Gnagna,2015,0.7744709417390404,42.0,5.595598129471483,7505.9
Komandjari,2015,0.6727800941568085,14.0,8.118648245067197,1724.425
Djelgodji,2015,0.4420732564894926,56.0,13.842712182822678,4045.45
Karo-Peli,2015,0.35192209139127983,34.0,16.079451406951996,2114.5
Kossin,2015,0.0,155.0,35.63955760962038,4349.1
Nayala,2015,0.26474334256514676,45.0,18.24244205490975,2466.775
Sourou,2015,0.8165590534056634,15.0,4.551350613294495,3295.725
Comoe,2015,0.5181915297914648,133.0,11.95414282953662,11125.85
Leraba,2015,0.0,56.0,24.88584728533179,2250.275
Dyamongou,2015,0.012069181828144204,52.0,24.51153692050249,2121.45
Gobnangou,2015,0.0,255.0,52.79639742229353,4829.875
Loroum,2015,0.0,205.0,83.95274074984131,2441.85
