Region,year,school_fragility_score,school_count,schools_per_1000_children,school_age_pop
Aba North,2024,0.2894531157480875,3.0,1.421093768503825,2111.05
Aba South,2024,0.9213932264543235,1.0,0.15721354709135285,6360.775000000001
Arochukwu,2024,1.0,0.0,0.0,3212.75
Bende,2024,1.0,0.0,0.0,3602.5
Ikwuano,2024,1.0,0.0,0.0,2498.3
Isiala-Ngwa North,2024,1.0,0.0,0.0,2697.25
Isiala-Ngwa South,2024,1.0,0.0,0.0,2240.75
Isiukwuato,2024,0.5499448682463601,2.0,0.9001102635072797,2221.95
Obi Ngwa,2024,1.0,0.0,0.0,3576.275
Ohafia,2024,1.0,0.0,0.0,3284.125
Osisioma Ngwa,2024,1.0,0.0,0.0,3208.4
Ugwunagbo,2024,1.0,0.0,0.0,2454.0
Ukwa East,2024,1.0,0.0,0.0,1480.25
Ukwa West,2024,1.0,0.0,0.0,1787.375
Umuahia North,2024,0.2328170191872464,5.0,1.5343659616255072,3258.675
Umuahia South,2024,1.0,0.0,0.0,2847.425
Umu-Nneochi,2024,1.0,0.0,0.0,2842.45
Demsa,2024,1.0,0.0,0.0,1621.05
Fufore,2024,1.0,0.0,0.0,5335.725
Ganye,2024,1.0,0.0,0.0,3211.675
Gombi,2024,1.0,0.0,0.0,2902.075
Girei,2024,0.8431753848083995,1.0,0.31364923038320097,3188.275
Guyuk,2024,1.0,0.0,0.0,2467.55
Hong,2024,0.7763563984434405,1.0,0.4472872031131189,2235.7
Jada,2024,1.0,0.0,0.0,3884.625
Lamurde,2024,1.0,0.0,0.0,1504.8
Madagali,2024,1.0,0.0,0.0,3118.775
Maiha,2024,1.0,0.0,0.0,2017.125
Mayo-Belwa,2024,1.0,0.0,0.0,1957.8
Michika,2024,0.6908451520655408,2.0,0.6183096958689184,3234.625
Mubi North,2024,1.0,0.0,0.0,3430.3250000000003
Mubi South,2024,0.21049099564980545,5.0,1.579018008700389,3166.525
Numan,2024,1.0,0.0,0.0,1492.1
Shelleng,2024,1.0,0.0,0.0,2811.5
Song,2024,1.0,0.0,0.0,3481.55
Toungo,2024,1.0,0.0,0.0,1060.45
Yola North,2024,0.8280930360488903,1.0,0.3438139279022193,2908.55
Yola South,2024,0.3712603087111884,6.0,1.2574793825776232,4771.45
Abak,2024,1.0,0.0,0.0,2003.55
Eastern Obolo,2024,1.0,0.0,0.0,1039.125
Eket,2024,1.0,0.0,0.0,3008.3999999999996
Esit - Eket,2024,1.0,0.0,0.0,1261.6
Essien Udim,2024,1.0,0.0,0.0,3720.8
Etim Ekpo,2024,1.0,0.0,0.0,2133.075
Etinan,2024,1.0,0.0,0.0,2224.05
Ibeno,2024,1.0,0.0,0.0,2649.6
Ibesikpo Asutan,2024,1.0,0.0,0.0,2653.775
Ibiono Ibom,2024,1.0,0.0,0.0,3801.15
Ika,2024,1.0,0.0,0.0,1317.0
Ikono,2024,1.0,0.0,0.0,1802.1
Ikot Abasi,2024,0.8221874499902203,1.0,0.3556251000195594,2811.95
Ikot Ekpene,2024,0.12242211496270294,4.0,1.7551557700745941,2279.0
Ini,2024,0.0,4.0,2.201067517746107,1817.3
Itu,2024,1.0,0.0,0.0,2077.85
Mbo,2024,1.0,0.0,0.0,2408.775
Mkpat Enin,2024,1.0,0.0,0.0,3483.35
Nsit Atai,2024,1.0,0.0,0.0,1657.65
Nsit Ibom,2024,1.0,0.0,0.0,2232.65
Nsit Ubium,2024,1.0,0.0,0.0,1803.925
Obot Akara,2024,1.0,0.0,0.0,2561.9
Okobo,2024,1.0,0.0,0.0,2117.7
Onna,2024,1.0,0.0,0.0,2779.3
Oron,2024,0.742463848362714,1.0,0.5150723032745722,1941.475
Oruk Anam,2024,0.23314843690089715,6.0,1.5337031261982057,3912.1
Udung Uko,2024,1.0,0.0,0.0,719.9
Ukanafun,2024,1.0,0.0,0.0,1818.05
Uruan,2024,1.0,0.0,0.0,2009.275
Urue-Offong/Oruko,2024,1.0,0.0,0.0,1656.45
Uyo,2024,0.607631566040512,4.0,0.7847368679189759,5097.25
Aguata,2024,1.0,0.0,0.0,5101.95
Anambra East,2024,1.0,0.0,0.0,1415.425
Anambra West,2024,1.0,0.0,0.0,3724.4
Anaocha,2024,0.651883311285943,3.0,0.696233377428114,4308.9
Awka North,2024,1.0,0.0,0.0,1152.8
Awka South,2024,0.0,16.0,5.700340239058019,2806.85
Ayamelum,2024,1.0,0.0,0.0,2570.175
Dunukofia,2024,1.0,0.0,0.0,902.375
Ekwusigo,2024,1.0,0.0,0.0,3701.9500000000003
Idemili North,2024,0.7996072301711354,2.0,0.4007855396577292,4990.2
Idemili South,2024,0.8885964545821671,2.0,0.22280709083566583,8976.375
Ihiala,2024,0.8153644475011886,2.0,0.3692711049976228,5416.075
Njikoka,2024,1.0,0.0,0.0,2582.7999999999997
Nnewi North,2024,0.5247411819686805,3.0,0.9505176360626391,3156.175
Nnewi South,2024,1.0,0.0,0.0,3616.225
Ogbaru,2024,0.9258138223686163,1.0,0.14837235526276746,6739.8
Onitsha North,2024,0.0,3.0,3.5646387832699618,841.6
Onitsha South,2024,1.0,0.0,0.0,1732.1
Orumba North,2024,0.6117635640104824,2.0,0.7764728719790351,2575.75
Orumba South,2024,1.0,0.0,0.0,2232.8
Oyi,2024,0.6826228051383367,2.0,0.6347543897233264,3150.825
Alkaleri,2024,0.9147964487159825,1.0,0.170407102568035,5868.3
Bauchi,2024,0.0,52.0,6.118780832919041,8498.425
Bogoro,2024,1.0,0.0,0.0,1927.375
Damban,2024,1.0,0.0,0.0,2837.25
Darazo,2024,1.0,0.0,0.0,5844.35
Dass,2024,1.0,0.0,0.0,1879.175
Gamawa,2024,1.0,0.0,0.0,5213.65
Ganjuwa,2024,1.0,0.0,0.0,4876.3
Giade,2024,1.0,0.0,0.0,3450.05
Itas/Gadau,2024,1.0,0.0,0.0,4510.15
Jama'are,2024,1.0,0.0,0.0,1363.075
Katagum,2024,0.4809643682038772,4.0,1.0380712635922456,3853.3
Kirfi,2024,0.814033064921057,1.0,0.3719338701578859,2688.65
Misau,2024,1.0,0.0,0.0,4259.35
Ningi,2024,1.0,0.0,0.0,6499.5
Shira,2024,1.0,0.0,0.0,5640.025
Tafawa-Balewa,2024,1.0,0.0,0.0,3778.0
Toro,2024,1.0,0.0,0.0,6037.925
Warji,2024,1.0,0.0,0.0,2185.875
Zaki,2024,1.0,0.0,0.0,3592.775
Brass,2024,1.0,0.0,0.0,1396.025
Ekeremor,2024,1.0,0.0,0.0,4962.475
Kolokuma/Opokuma,2024,1.0,0.0,0.0,1402.625
Nembe,2024,1.0,0.0,0.0,3363.9
Ogbia,2024,0.08677884066573827,6.0,1.8264423186685235,3285.075
Sagbama,2024,0.0,13.0,3.959431060213809,3283.3
Southern Ijaw,2024,0.0,56.0,8.618732661533903,6497.475
Yenegoa,2024,0.0,55.0,8.043405139004665,6837.9
