year,fragility_scalar,Children out of school (% of primar,"Primary completion rate, total (% o",Survival rate to the last grade of ,"Total net enrolment rate, primary, "
2000,0.3199,,,,64.05
2001,0.3199,,,,64.05
2002,0.3199,,,,64.05
2003,0.3199,,,,64.05
2004,0.1792,,,72.96,64.62
2005,0.1421,,,77.75,64.95
2006,0.3341,,,49.72,65.16
2007,0.3234,,,47.05,67.64
2008,0.1714,,,79.99,61.14
2009,0.2689,,,64.38,62.06
2010,0.271,,,64.38,61.88
2011,0.271,,,64.38,61.88
2012,0.271,,,64.38,61.88
2013,0.271,,,64.38,61.88
2014,0.271,,,64.38,61.88
2015,0.271,,,64.38,61.88
2016,0.271,,,64.38,61.88
2017,0.271,,,64.38,61.88
2018,0.271,,,64.38,61.88
2019,0.271,,,64.38,61.88
2020,0.271,,,64.38,61.88
2021,0.271,,,64.38,61.88
2022,0.271,,,64.38,61.88
2023,0.1083,,,64.38,75.68
2024,0.1083,,,64.38,75.68
