Region,Population,school_age_pop,adm2_name,school_count,area_sqkm,schools_per_1000_children,schools_per_km2,child_pop_density,density_gap,year,density_norm,school_fragility_score
Bale,294101.0,130874.945,Bale,74,4534.61145906,0.5654209411821248,0.016318928461257803,28.86133601116283,0.5654209411821248,2019,0.07244145874929515,0.9275585412507048
Banwa,358717.0,159629.065,Banwa,2,5819.61361387,0.01252896814895114,0.0003436654274148649,27.429495425530124,0.01252896814895114,2019,2.0674327936726564e-05,0.9999793256720633
Mouhoun,408564.0,181810.98,Mouhoun,272,7031.24554018,1.4960510303006436,0.03868446898144263,25.85757800108708,1.4960510303006436,2019,0.19434042698777595,0.805659573012224
Bougouriba,164607.0,73250.115,Bougouriba,28,2750.355624,0.3822467412270789,0.010180501661555314,26.632961338093494,0.3822467412270789,2019,0.04844831018950725,0.9515516898104928
Ioba,243415.0,108319.675,Ioba,43,3293.38776005,0.3969694612778216,0.013056464386491549,32.89004602311253,0.3969694612778216,2019,0.05037677178217877,0.9496232282178212
Noumbiel,105535.0,46963.075,Noumbiel,41,2826.29472669,0.8730077191981318,0.014506625799785903,16.616481839811716,0.8730077191981318,2019,0.11273084045138929,0.8872691595486107
Poni,390516.0,173779.62,Poni,55,7643.15800485,0.31649098731492614,0.007195978411685262,22.73662534383397,0.31649098731492614,2019,0.03983526548854867,0.9601647345114513
Gourma,479728.0,213478.96,Gourma,90,10975.14593882,0.4215852391952856,0.008200346537685895,19.451127227830952,0.4215852391952856,2019,0.05360107966305613,0.9463989203369438
Kompienga,179007.0,79658.115,Kompienga,9,6987.28975197,0.11298142089577569,0.0012880530677094842,11.400431043744987,0.11298142089577569,2019,0.013178480517570052,0.9868215194824299
Houet,1547659.0,688708.255,Houet,588,11391.01114575,0.8537710154628312,0.05161964925470058,60.460677826389265,0.8537710154628312,2019,0.11021111283344437,0.8897888871665556
Kenedougou,463333.0,206183.185,Kenedougou,87,8397.98259975,0.4219528282443195,0.010359630895471242,24.5515137178467,0.4219528282443195,2019,0.05364922846711579,0.9463507715328842
