Region,Population
Bale,294101.0
Banwa,358717.0
Mouhoun,408564.0
Bougouriba,164607.0
Ioba,243415.0
Noumbiel,105535.0
Poni,390516.0
Gourma,479728.0
Kompienga,179007.0
Houet,1547659.0
Kenedougou,463333.0
Tuy,364599.0
Kadiogo,3959466.0
Bam,386191.0
Namentenga,467387.0
Sandbondtenga,842495.0
Oudalan,304364.0
Seno,376745.0
Yagha,236691.0
Boulgou,780847.0
Koulpelogo,389026.0
Kourittenga,473389.0
Boulkiemde,666624.0
Sanguie,373602.0
Sissili,321565.0
Ziro,302516.0
Bazega,263308.0
Nahouri,242569.0
Zoundweogo,352296.0
Bassitenga,298458.0
Ganzourgou,446026.0
Kourweogo,170917.0
Gnagna,608118.0
Komandjari,134528.0
Djelgodji,326719.0
Karo-Peli,175725.0
Kossin,351812.0
Nayala,204955.0
Sourou,269508.0
Comoe,881956.0
Leraba,177751.0
Dyamongou,167923.0
Gobnangou,389375.0
Loroum,196742.0
Passore,405397.0
Yatenga,714222.0
Zondoma,235530.0
